;review_id;rating;title;review_date;user_name;review;response_id;dev_response;response_date;lang
84;6102009673;5;Klarkov;2020-06-20T22:32:21Z;klarkov;Love this app;;;;en
57;6090391442;5;The only essential app;2020-06-18T06:29:17Z;Micrian;Would like to see this data being used to bring every government to act faster and do more;;;;en
96;6024828701;5;Kate1290;2020-06-02T07:50:03Z;1290Kate;As a mother with children in year 01 and year 7 in Bangkok it’s very important to know the pollution levels and be prepared for the day. The app helps us with planning, masks, etc. Very useful.;;;;en
85;5986928118;5;Good;2020-05-24T08:01:51Z;Tethanskronosdia;Good app;;;;en
14;5952085335;5;Simple, easy to use and very helpful;2020-05-16T08:08:24Z;Super_sonic-saiyajin;"So far so good!! This app is quite useful and precise for showing which areas of the city are more polluted than the others also has a weekly forecast! 

I’m quite happy with this app compared to the previous ones I’ve used.";;;;en
177;5930476724;5;Air quality check;2020-05-11T06:22:40Z;TMep;Great for people with lung conditions.;;;;en
197;5926756993;5;Really useful;2020-05-10T08:01:27Z;beachnut1;Great app for awareness of pollution levels when travelling.;;;;en
178;5915347466;5;It’s a nice app;2020-05-07T15:51:51Z;Dilys_Gia;It’s really helpful to track what’s going on in my country;;;;en
159;5909450883;5;I’m addicted!;2020-05-06T09:02:15Z;aybaj;I’m asthmatic so air quality is very important to me. I’m now saving up to get the best purifier and monitor I can buy.;;;;en
171;5906285769;5;Excellent !;2020-05-05T14:52:15Z;andioopskskskskskskskksks;Really helpful and accurate , gives good advice and accurate readings;;;;en
104;5849975615;5;Hi;2020-04-22T22:20:20Z;stolarzuk;Super app;;;;en
173;5844764083;5;A must app;2020-04-21T18:54:17Z;Ukrmiho;Helps to take appropriate actions when needed and to stay healthy;;;;en
71;5833512433;5;Very clear once you’ve mastered the settings;2020-04-19T09:14:21Z;Zepnut1;This app is very clear and easy to use once you’ve mastered the settings. Very flexible and easy to use.;;;;en
216;5823959687;5;I have Asthma;2020-04-17T09:29:17Z;Bluetooth38;I have Asthma and COPD so yes it let’s me know when it’s best to stay in or knot .;;;;en
134;5800512587;5;Good;2020-04-12T11:36:06Z;Endless Vortex;Information what you need with really easy access;;;;en
55;5756609572;5;Brilliant app.;2020-04-03T15:57:50Z;pogopatt;"I sometimes walk home from work which is about 2.5 miles and was curious about the quality of the air that I breathe.
This app answers all my questions.";;;;en
160;5734808277;5;Very useful app;2020-03-30T09:04:31Z;Rosiepops67;Great app for monitoring air quality, particularly if you need to avoid poor air quality.;;;;en
89;5725223295;5;great;2020-03-28T09:37:22Z;kisne4444;so usefull;;;;en
147;5722717097;5;Air visual Helps;2020-03-27T20:14:50Z;reamer9mm;Always good to check the air quality before stepping outside, especially if allergic to the twentieth century.;;;;en
48;5712847940;5;so far so good;2020-03-25T20:44:36Z;Tapster555;using it everyday to check the pollution in chiang mai.;;;;en
226;5712712706;5;Really helpful!;2020-03-25T20:04:13Z;As the Mar;Thank you :);;;;en
161;5710697993;5;Up to date;2020-03-25T11:15:26Z;8 years Barclays customer;Brilliant app for you and all your friends;;;;en
23;5703051081;5;Essential app;2020-03-23T21:40:05Z;woo and parker;"This app has helped us understand our basic health needs. We found that allergies and irritations were in fact air pollution.

If this affects you - use the app and make simple decisions about your travel and movements.";;;;en
58;5635684757;5;The most accurate and simplest app;2020-03-09T05:54:35Z;pythayoon;Most of the air quality viewing apps are full of ads and not easy to see. This one is. Absolutely recommending.;;;;en
123;5527186972;5;makibg75;2020-02-13T21:17:28Z;makibg75;🙌;;;;en
