,Unnamed: 0,review_id,rating,title,review_date,user_name,review,response_id,dev_response,response_date,lang,title_expanded,review_expanded
0,3095,6121840341,5,Happy to finally see when and why I can’t breathe!,2020-06-25T23:18:57Z,Abbsteroni,Having allergies is annoying but I’m glad to see this and know when to take extra precautions.,,,,en,Happy to finally see when and why I ca n’t breathe !,Having allergies is annoying but I ’m glad to see this and know when to take extra precautions .
1,982,6114444527,5,Super,2020-06-24T02:12:59Z,WillJosue,Easy to keep track on specific Local areas,,,,en,Super,Easy to keep track on specific Local areas
2,1965,6114325210,5,Great App,2020-06-24T01:31:38Z,Nejinater,Full of good information!,,,,en,Great App,Full of good information !
3,797,6111838742,5,Great app for filtering the air,2020-06-23T11:01:04Z,Jamieissad,Tells you everything you need to know about the air around you.,,,,en,Great app for filtering the air,Tells you everything you need to know about the air around you .
4,962,6104666348,5,I look everyday,2020-06-21T14:29:25Z,TorchPitchfork,This is part of my daily planning. I love the widget for a quick glance at the Air Quality.,,,,en,I look everyday,This is part of my daily planning . I love the widget for a quick glance at the Air Quality .
5,799,6100238408,5,Best ever!,2020-06-20T12:32:52Z,S.D. Hansen,I have asthma and have been using apps for years to help me.  This app is by far the most helpful I have come across.  Thank you!,,,,en,Best ever !,I have asthma and have been using apps for years to help me .   This app is by far the most helpful I have come across .   Thank you !
6,1108,6085240577,5,Helpful and easy,2020-06-17T01:43:28Z,Tricia Gilson,As a supervisor of people working outside this App really helps me do my job.,,,,en,Helpful and easy,As a supervisor of people working outside this App really helps me do my job .
7,1276,6079746347,5,User,2020-06-15T17:50:38Z,jrrys,With app being I am more aware of air quality.,,,,en,User,With app being I am more aware of air quality .
8,1986,6075747590,5,Great app!,2020-06-14T18:38:41Z,Dallas J,It helps me plan for outdoor activity,,,,en,Great app !,It helps me plan for outdoor activity
9,1624,6062264110,5,Air Visual QF,2020-06-11T09:26:22Z,Abmartinez977,"Is the best APP for this times it tells you where you can breath. I recomended for Covid 19, it help. ✌🏼👍🏼",,,,en,Air Visual QF,"Is the best APP for this times it tells you where you can breath . I recomended for Covid 19 , it help . ✌ 🏼 👍 🏼"
10,2580,6052473443,5,good luv app,2020-06-08T23:06:36Z,맑은이의영상창고,clean world,,,,en,good luv app,clean world
11,300,6043053831,5,Perfect 👍,2020-06-06T15:00:25Z,Kofolu,"What a great app , beautiful design, useful handling , perfect information 👍 5 stars and high recommended. What I miss ? Only 1 thing , a complication for the Siri watchface , it would be so cool when I see t by rough the day some cards with the air data on my Siri watchface 👍 any chance for this feature? Keep working on this app ist a 5 Star app 👍",,,,en,Perfect 👍,"What a great app , beautiful design , useful handling , perfect information 👍 5 stars and high recommended . What I miss ? Only 1 thing , a complication for the Siri watchface , it would be so cool when I see t by rough the day some cards with the air data on my Siri watchface 👍 any chance for this feature ? Keep working on this app ist a 5 Star app 👍"
12,2150,6023976474,5,Great App,2020-06-02T02:11:14Z,Smile7777,Fast and easy to use 😂👍🙏,,,,en,Great App,Fast and easy to use 😂 👍 🙏
13,1689,6012386491,5,Helpful,2020-05-30T06:36:46Z,nroose,Wish I didn’t need it.,,,,en,Helpful,Wish I did n’t need it .
14,1205,6012239877,5,Great app,2020-05-30T05:44:05Z,12lena34,Easy to use and great for checking everyday air quality.,,,,en,Great app,Easy to use and great for checking everyday air quality .
15,1206,6012089884,5,Easy way to check the air quality.,2020-05-30T04:49:13Z,JessWW,Love this app!,,,,en,Easy way to check the air quality .,Love this app !
16,768,6010969761,5,Great information,2020-05-29T22:38:16Z,App Purchaser,Great information that is otherwise often inaccessible from a company that’s earned my trust.,,,,en,Great information,Great information that is otherwise often inaccessible from a company that ’s earned my trust .
17,362,6000999431,5,A brilliant app,2020-05-27T15:18:45Z,Thy Le Katy,"My cousin usually has acute pneumonia so this app has been very useful. We are able get access to the air quality wherever we go, and avoid unnecessary contact with fine dust.",,,,en,A brilliant app,"My cousin usually has acute pneumonia so this app has been very useful . We are able get access to the air quality wherever we go , and avoid unnecessary contact with fine dust ."
18,1451,5989082613,5,mnpaul77,2020-05-24T19:46:57Z,wnatv,Works very well keeping me updated.,,,,en,mnpaul77,Works very well keeping me updated .
19,1643,5962657212,5,Helpful,2020-05-18T20:33:23Z,Ally14567,Helpful data to make informed decisions about outdoor air exposure,,,,en,Helpful,Helpful data to make informed decisions about outdoor air exposure
20,86,5959252948,5,Very cool,2020-05-18T01:13:32Z,MashkaNYC,"Never followed this before but now I’m understanding what’s effecting my at times debilitating congestion is not allergies. Really accurate for my neighborhood so far (brooklyn, New York). You can even have the air quality number stay on top of the app the same way notifications usually appear. But seems like you have to open the app for it to be updated/refresh to the latest air quality number. I guess that’s the only thing that’s not the best so far.",,,,en,Very cool,"Never followed this before but now I ’m understanding what ’s effecting my at times debilitating congestion is not allergies . Really accurate for my neighborhood so far ( brooklyn , New York ) . You can even have the air quality number stay on top of the app the same way notifications usually appear . But seems like you have to open the app for it to be updated / refresh to the latest air quality number . I guess that ’s the only thing that ’s not the best so far ."
21,341,5957424702,5,Love the app,2020-05-17T14:17:10Z,APOMex,"Gives you details of any city around the world, and even around different areas in the same city. You can create alarms and it is very user friendly. Totally recommend it.",,,,en,Love the app,"Gives you details of any city around the world , and even around different areas in the same city . You can create alarms and it is very user friendly . Totally recommend it ."
22,2377,5946165403,5,Air,2020-05-15T00:08:18Z,anjeong-ri,Great application,,,,en,Air,Great application
23,205,5945465593,5,"very informative, great app",2020-05-14T19:56:40Z,sumz16,love using this to check the air quality in my area and whenever I travel. i like that it has the widget option so i can see it in my today view as well on iphone,,,,en,"very informative , great app",love using this to check the air quality in my area and whenever I travel . i like that it has the widget option so i can see it in my today view as well on iphone
24,238,5941718020,5,Literally can’t live (breathe) without it!,2020-05-13T22:33:23Z,WindedStill,"Though when I first awaken, I already know if it’s a “good or bad air day”, this app is essential as to how, what, when, and how much to do the rest of that day. I can plan how to function, tho maybe limited, or change plans entirely. It’s an actual medical tool, just not dispensed from a physician!",,,,en,Literally ca n’t live ( breathe ) without it !,"Though when I first awaken , I already know if it ’s a “ good or bad air day ” , this app is essential as to how , what , when , and how much to do the rest of that day . I can plan how to function , tho maybe limited , or change plans entirely . It ’s an actual medical tool , just not dispensed from a physician !"
