;review_id;rating;title;review_date;user_name;review;response_id;dev_response;response_date;lang-r
34;5860156783;5;Crashes;2020-04-25T03:09:18Z;rivrrat;"Update: Version 3.0.1 seems to have fixed the issues!
Great app!

New update pretty much broke the app. Crashes all the time.";14890549.0;"Hi,

Thank you very much for your feedback. Sorry for your less than ideal experience with the new app. Please update the latest version v3.0.1. It should solve most of the problems you were facing with the v3.0.0.

Please feel free to send me your feedback and comments at antoine.simon@plumelabs.com. I would be thrilled to discuss with you about our new app.

All the best, Antoine Simon, Product Manager.";2020-04-24T12:45:36Z;en
38;5543359500;5;Depend upon it;2020-02-17T12:15:35Z;Miss A Step;I use this app all day long. Living in a  highly polluted environment where hiking is the past time, it’s hugely important I stay on top of the index.;;;;en
50;5223823949;5;Climate Change Is Here, Folks!;2019-12-02T06:44:26Z;AarCox2019;A great app and fun daily reminder of just how totally screwed we are.;;;;en
68;5182439168;5;Stay safe with Plume;2019-11-22T18:20:14Z;City Otter NYC;After;;;;af
49;5155963285;5;Refreshing;2019-11-17T05:31:36Z;Not So Fearless Reviewer;Always nice to know when it's safe to go outside.;;;;en
16;5134271539;5;Like Plume！;2019-11-14T00:57:25Z;sheayone;Elegant UI and easy to use. Could you make the widget customizable? The default location of widget is current location, but it always uses location api to get the current location, kind of not reasonable and power wasted.;;;;en
69;5112757277;5;Dam good;2019-11-09T17:44:26Z;gugvdjjb;"Dam good system😊 
Make it a bit simpler interface";;;;en
121;4558679407;5;Mrs M;2019-08-03T01:21:50Z;Mrs.M5119;FLOW personal portable air quality sensor is the best investment I have ever made! I have been enlightened and educated, and now realize that I have been poisoned my entire life by pollution by my geographical location. FLOW has helped me to make a life changing decision.. It's time to move.. Many thanks to Mr.Lancome and his team at Plume Labs. I also hope my health will improve :);;;;en
70;4401653992;5;Love this App;2019-07-02T16:30:38Z;Carito Cf;Keeps me up to date with the AQI where ever I go.;;;;en
15;4340504612;5;A very useful and accurate indicator;2019-06-19T22:53:01Z;Mklnaz;I use Plume to determine the air quality each day as I plan my outdoor activities.  I have asthma and Plume has allowed me to avoid poor air quality conditions.  My asthma doctor was very impressed with Plume and plans to alert all of his patients as to its usefulness!   Thank you Plume!;;;;en
20;4250155541;5;Extremely excited for the UI;2019-06-02T07:24:33Z;Minhbeooo;"- UI Clear but still informative enough for me to know what to do
- no ads interrupt while i’m using the app (10/10) for this)
=> definitely share for friends";;;;en
12;4149239084;5;Great help!;2019-05-14T14:42:20Z;xdesgh;Having been recently diagnosed with COPD this app is a lifesaver for me. I am an active 68-year-old who still works 5 miles a day and a Zumba and weightlifting three days a week. Still, who knew? Diagnosed with COPD. I’m aggressively tracking all things that created this monstrous disease in May. This app is where I start every morning;;;;en
30;4132132282;5;Handy for Asthma;2019-05-11T06:13:51Z;denninrl;I just started using this app, but I have found it very helpful! As a newly diagnosed asthmatic I am able to use this app to help plan activities so I can fully enjoy them!;;;;en
2;3969994802;5;So far so good!;2019-04-04T21:48:24Z;littleapples;Just learned about this and got it on the basis of the reviews. I intend to go with the Flow as well. I cannot judge the accuracy but it seems to offer so much more than the apps I had been using, and I am very susceptible to pollution-related health issues. I do have the luxury of choosing where I get my exercise and I expect this to help me decide where to spend time. If it helps me I will also be sharing information about this product with elderly neighbors as respiratory issues loom large in this part of the world.;;;;en
8;3951711532;5;Awesome;2019-03-31T14:32:10Z;LeChatParle;Pollution data shouldn’t stop you from exercising. Studies have shown that even in cities as polluted as many Chinese or Indian cities, up to 30 minutes of exercise is still beneficial. In western cities with lower pollution levels, it would often take 15-20 hours of constant exposure prior to the exercise outside being bad for your health. For people in the west, it’s never a bad time to exercise.;;;;en
37;3757684902;5;Floridian who loves it;2019-02-11T12:13:42Z;StoniBlue;Given this state so far behind supplying accurate data find app extremely helpful esp with alerts re sudden really bad air.;;;;en
