;review_id;rating;title;review_date;user_name;review;response_id;dev_response;response_date;lang-r
8;4125441347;5;Great way to keep track of my allergies;2019-05-09T20:56:28Z;Cylb;Love the app, it really packs lots of features from environmental info to symptom logging. You can also use it to get weather, pollen and pollution forecasts!;8699613.0;Thank you very much for your feedback!;2019-05-16T09:04:59Z;en
14;3630990329;5;You can write your symptoms;2019-01-09T18:44:04Z;professoor scripts;Sets it apart from everyone;6766230.0;Hello, thank you for your 5 Stars Rating.;2019-01-10T09:13:29Z;en
11;2612985502;5;Awesome App!;2018-05-29T15:31:23Z;Momma Berta;What an incredible app!!! Not only is it easy to use and nice looking but it’s totally on point! Thrilled with this new technology 💥;5175773.0;Thank you so much for your kind feedback!;2018-09-22T18:43:38Z;en
10;2609528181;5;Finally an app that can help me manage my allergies!;2018-05-28T21:38:56Z;Richard jolio;Great product, very helpful to anybody that is trying yo manage their allergies (mine are cat dander and some pollen). Keep up the good work;5175778.0;Thank you for your feedback Richard! Don't forget to log your symptoms to understand which types of pollen you react to!;2018-09-22T18:45:09Z;en
23;2592144865;5;Brilliant;2018-05-25T03:03:39Z;Ahmad muhaisen;This is a awesome!;;;;en
16;1795231875;5;Great App;2017-09-17T22:01:52Z;Tiger701;Great way to monitor air quality !;5175800.0;Thank you for your feedback!;2018-09-22T18:49:32Z;en
7;1775601497;5;A great idea that's well implemented;2017-09-05T19:56:20Z;David Haddad;If yiu believe the adage that you can only improve what you measure and if you care about improving your asthma or allergies then this app which lets you improve your health by tracking air conditions and your own symptoms is for you.;;;;en
2;3650933831;4;So far, so good!;2019-01-15T00:44:27Z;egretsrus;How can I delete the daily notifications? They’re really piling up. Also, on bad pollution days the advice given on your app is to take a bus or other public transport. Bus fumes aren’t known to be good for asthma 😳;6848026.0;"Thanks for your comment, buses and tubes are certainly faster than cars. Sitting idle in traffic can be very harmful for your health and it is inefficient. While in some countries we can appreciate public transport isn’t great, if everyone used it the carbon emissions would be reduced considerably. One bus can replace up to 30 cars!

In order to delete the notifications just swipe left and tap delete.";2019-01-15T14:14:11Z;en
0;2579715523;4;More updates to come;2018-05-22T05:13:01Z;Samsoumitunes;I am sure this app will be like a fundamental tool for our daily life (comparable to daily steps or weather). I am also sure the improvements and practical features will be updated soon to make it perfect. I am sending regularly when needed my feedback. Since it’s a new app we have to be part of it from the beginning.;5175794.0;Thank you for your comment! We love getting your feedback, we know we still have a lot to improve!;2018-09-22T18:48:20Z;en
20;5992518406;3;Poor Alaska;2020-05-25T15:49:12Z;TheOneThatMatters;No Anchorage?;;;;en
