,Unnamed: 0,review_id,rating,title,review_date,user_name,review,response_id,dev_response,response_date,lang,opinion_unit
0,3095,6121840341,5,Happy to finally see when and why I can’t breathe!,2020-06-25T23:18:57Z,Abbsteroni,Having allergies is annoying but I’m glad to see this and know when to take extra precautions.,,,,en,Having allergies is annoying
1,3095,6121840341,5,Happy to finally see when and why I can’t breathe!,2020-06-25T23:18:57Z,Abbsteroni,Having allergies is annoying but I’m glad to see this and know when to take extra precautions.,,,,en,but I’m glad to see this and know when to take extra precautions.
2,982,6114444527,5,Super,2020-06-24T02:12:59Z,WillJosue,Easy to keep track on specific Local areas,,,,en,Easy to keep track on specific Local areas
3,1965,6114325210,5,Great App,2020-06-24T01:31:38Z,Nejinater,Full of good information!,,,,en,Full of good information!
4,797,6111838742,5,Great app for filtering the air,2020-06-23T11:01:04Z,Jamieissad,Tells you everything you need to know about the air around you.,,,,en,Tells you everything you need to know about the air around you.
5,962,6104666348,5,I look everyday,2020-06-21T14:29:25Z,TorchPitchfork,This is part of my daily planning. I love the widget for a quick glance at the Air Quality.,,,,en,This is part of my daily planning.
6,962,6104666348,5,I look everyday,2020-06-21T14:29:25Z,TorchPitchfork,This is part of my daily planning. I love the widget for a quick glance at the Air Quality.,,,,en,I love the widget for a quick glance at the Air Quality.
7,799,6100238408,5,Best ever!,2020-06-20T12:32:52Z,S.D. Hansen,I have asthma and have been using apps for years to help me.  This app is by far the most helpful I have come across.  Thank you!,,,,en,I have asthma and have been using apps for years to help me.  
8,799,6100238408,5,Best ever!,2020-06-20T12:32:52Z,S.D. Hansen,I have asthma and have been using apps for years to help me.  This app is by far the most helpful I have come across.  Thank you!,,,,en,This app is by far the most helpful I have come across.  
9,799,6100238408,5,Best ever!,2020-06-20T12:32:52Z,S.D. Hansen,I have asthma and have been using apps for years to help me.  This app is by far the most helpful I have come across.  Thank you!,,,,en,Thank you!
10,1108,6085240577,5,Helpful and easy,2020-06-17T01:43:28Z,Tricia Gilson,As a supervisor of people working outside this App really helps me do my job.,,,,en,As a supervisor of people working outside this App really helps me do my job.
11,1276,6079746347,5,User,2020-06-15T17:50:38Z,jrrys,With app being I am more aware of air quality.,,,,en,With app being I am more aware of air quality.
12,1986,6075747590,5,Great app!,2020-06-14T18:38:41Z,Dallas J,It helps me plan for outdoor activity,,,,en,It helps me plan for outdoor activity
13,1624,6062264110,5,Air Visual QF,2020-06-11T09:26:22Z,Abmartinez977,"Is the best APP for this times it tells you where you can breath. I recomended for Covid 19, it help. ✌🏼👍🏼",,,,en,Is the best APP for this times it tells you where you can breath.
14,1624,6062264110,5,Air Visual QF,2020-06-11T09:26:22Z,Abmartinez977,"Is the best APP for this times it tells you where you can breath. I recomended for Covid 19, it help. ✌🏼👍🏼",,,,en,"I recomended for Covid 19, it help."
15,1624,6062264110,5,Air Visual QF,2020-06-11T09:26:22Z,Abmartinez977,"Is the best APP for this times it tells you where you can breath. I recomended for Covid 19, it help. ✌🏼👍🏼",,,,en,✌
16,1624,6062264110,5,Air Visual QF,2020-06-11T09:26:22Z,Abmartinez977,"Is the best APP for this times it tells you where you can breath. I recomended for Covid 19, it help. ✌🏼👍🏼",,,,en,🏼👍🏼
17,2580,6052473443,5,good luv app,2020-06-08T23:06:36Z,맑은이의영상창고,clean world,,,,en,clean world
