;opi_id;tag;subtag;opinion_unit;review_id;rating
0;0;Product feedback;Usability - Content;Happy to finally see when and why I ca n’t breathe !;6121840341;5
1;1;Usage;Conditions;Having allergies is annoying;6121840341;5
2;2;Product feedback;Usability - Content;but I ’m glad to see this and know when to take extra precautions .;6121840341;5
3;3;;;Super;6114444527;5
4;4;Product feedback;Usability - Content;Easy to keep track on specific Local areas;6114444527;5
5;5;;;Great App;6114325210;5
6;6;Product feedback;Usability - Content;Full of good information !;6114325210;5
7;7;Usage;Actions taken;Great app for filtering the air;6111838742;5
8;8;Product feedback;Usability - Content;Tells you everything you need to know about the air around you .;6111838742;5
9;9;Other;Frequency of use;I look everyday;6104666348;5
10;10;Other;Frequency of use;This is part of my daily planning .;6104666348;5
11;11;Product feedback;Usability - Navigation;I love the widget for a quick glance at the Air Quality .;6104666348;5
12;12;;;Best ever !;6100238408;5
13;13;Usage;Conditions;I have asthma and have been using apps for years to help me .   ;6100238408;5
14;14;;;This app is by far the most helpful I have come across .   ;6100238408;5
15;15;;;Thank you !;6100238408;5
16;16;Product feedback;Usability - Complexity;Helpful and easy;6085240577;5
17;17;Usage;Activities;As a supervisor of people working outside this App really helps me do my job .;6085240577;5
18;18;;;User;6079746347;5
19;19;Product feedback;Usability - Content;With app being I am more aware of air quality .;6079746347;5
20;20;;;Great app !;6075747590;5
21;21;Usage;Activities;It helps me plan for outdoor activity;6075747590;5
22;22;;;Air Visual QF;6062264110;5
23;23;Product feedback;Usability - Content;Is the best APP for this times it tells you where you can breath .;6062264110;5
24;24;Usage;Sources of pollution;I recomended for Covid 19 , it help .;6062264110;5
25;25;;;✌;6062264110;5
26;26;;;🏼 👍 🏼;6062264110;5
27;27;;;good luv app;6052473443;5
28;28;;;clean world;6052473443;5
29;29;;;Perfect 👍;6043053831;5
30;30;Product feedback;Usability - Navigation;What a great app , beautiful design , useful handling , perfect information 👍 5 stars and high recommended .;6043053831;5
31;31;;;What I miss ?;6043053831;5
32;32;Other;Feature request;Only 1 thing , a complication for the Siri watchface , it would be so cool when I see t by rough the day some cards with the air data on my Siri watchface 👍 any chance for this feature ?;6043053831;5
33;33;;;Keep working on this app ist a 5 Star app 👍;6043053831;5
34;34;;;Great App;6023976474;5
35;35;Product feedback;Usability - Complexity;Fast and easy to use 😂 👍 🙏;6023976474;5
36;36;;;Helpful;6012386491;5
37;37;;;Wish I did n’t need it .;6012386491;5
38;38;;;Great app;6012239877;5
39;39;Product feedback;Usability - Complexity;Easy to use and great for checking everyday air quality .;6012239877;5
40;40;Product feedback;Usability - Complexity;Easy way to check the air quality .;6012089884;5
41;41;;;Love this app !;6012089884;5
42;42;Product feedback;Usability - Content;Great information;6010969761;5
43;43;Product feedback;Usability - Content;Great information that is otherwise often inaccessible from a company that ’s earned my trust .;6010969761;5
44;44;;;A brilliant app;6000999431;5
45;45;;;My cousin usually has acute pneumonia so this app has been very useful .;6000999431;5
46;46;Product feedback;Usability - Content;We are able get access to the air quality wherever we go , and avoid unnecessary contact with fine dust .;6000999431;5
47;47;;;mnpaul77;5989082613;5
48;48;Product feedback;Performance;Works very well keeping me updated .;5989082613;5
49;49;;;Helpful;5962657212;5
50;50;Product feedback;Usability - Content;Helpful data to make informed decisions about outdoor air exposure;5962657212;5
51;51;;;Very cool;5959252948;5
52;52;;;Never followed this before;5959252948;5
53;53;Usage;Conditions;but now I ’m understanding what ’s effecting my at times debilitating congestion is not allergies .;5959252948;5
